TARGET,,,,stage,,,,,source,,references
target_table_type,target_table,target_column,target_key_type,комментарий,stg_table,stg_column,col_type,record_source,source_table,source_column,parent_table
hub,dv_hub_fact_work,,bk,,stg_1c_works,bk_работа_uuid,varchar,жуфвр_1с,src_works,"""КлючСвязи""",
,,,,,,,,,,,
link,dv_lnk_fact_journal_fact_work,,bk,жуфвр uuid,stg_1c_works,bk_жуфвр_uuid,varchar,жуфвр_1с,src_works,"""value_Ссылка""",dv_hub_fact_journal
link,dv_lnk_fact_journal_fact_work,,bk,,stg_1c_works,bk_работа_uuid,varchar,жуфвр_1с,src_works,"""КлючСвязи""",dv_hub_fact_work
,,,,,,,,,,,
esat,dv_esat_fact_journal_fact_work,,drive,,stg_1c_works,hk_dv_hub_fact_journal,varchar,жуфвр_1с,src_works,"""value_Ссылка""",dv_lnk_fact_journal_fact_work
esat,dv_esat_fact_journal_fact_work,,depend,,stg_1c_works,hk_dv_hub_fact_work,varchar,жуфвр_1с,src_works,"""КлючСвязи""",dv_lnk_fact_journal_fact_work
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
sat,dv_sat_fact_work,,bk,,stg_1c_works,bk_работа_uuid,varchar,жуфвр_1с,src_works,"""КлючСвязи""",dv_hub_fact_work
sat,dv_sat_fact_work,,attr,,stg_1c_works,идентификатор,varchar,жуфвр_1с,src_works,"""СтруктураРаботИдентификатор""",
sat,dv_sat_fact_work,,attr,,stg_1c_works,объем_работы,numeric,жуфвр_1с,src_works,"""ОбъемРаботы""",
sat,dv_sat_fact_work,,attr,,stg_1c_works,примечание,varchar,жуфвр_1с,src_works,"""Примечание""",
sat,dv_sat_fact_work,,attr,,stg_1c_works,кв,varchar,жуфвр_1с,src_works,"""СтруктураРаботНомерКВ""",
sat,dv_sat_fact_work,,attr,,stg_1c_works,пометка_удаления,bool,жуфвр_1с,src_works,"""СтруктураРаботПометкаУдаления""",
sat,dv_sat_fact_work,,attr,,stg_1c_works,тип_spider,varchar,жуфвр_1с,src_works,"""ВидРаботУровеньОперации""",
sat,dv_sat_fact_work,,attr,,stg_1c_works,структура_работ_value,uuid,жуфвр_1с,src_works,"""СтруктураРабот_value""",
sat,dv_sat_fact_work,,attr,,stg_1c_works,структура_работ_codе,varchar,жуфвр_1с,src_works,"""СтруктураРабот_codе""",
sat,dv_sat_fact_work,,attr,,stg_1c_works,структура_работ_name,varchar,жуфвр_1с,src_works,"""СтруктураРабот_name""",
sat,dv_sat_fact_work,,attr,,stg_1c_works,видработ_value,uuid,жуфвр_1с,src_works,"""ВидРабот_value""",
sat,dv_sat_fact_work,,attr,,stg_1c_works,видработ_codе,varchar,жуфвр_1с,src_works,"""ВидРабот_codе""",
sat,dv_sat_fact_work,,attr,,stg_1c_works,видработ_name,varchar,жуфвр_1с,src_works,"""ВидРабот_name""",
hub,dv_hub_fact_journal,,bk,,stg_1c_journal,bk_жуфвр_uuid,varchar,жуфвр_1с,src_journal,"""value_Ссылка""",
,,,,,,,,,,,
sat,dv_sat_fact_journal,,bk,,stg_1c_journal,bk_жуфвр_uuid,varchar,жуфвр_1с,src_journal,"""value_Ссылка""",dv_hub_fact_journal
sat,dv_sat_fact_journal,,-,,stg_1c_journal,rabbit_uuid,uuid,жуфвр_1с,src_journal,"""uuid""",
sat,dv_sat_fact_journal,,-,формат 2024-05-24T14:06:52,stg_1c_journal,rabbit_дата,timestamptz,жуфвр_1с,src_journal,"""date""",
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,проведен,boolean,жуфвр_1с,src_journal,"""value_Проведен""",
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,uuid_жуфвр,uuid,жуфвр_1с,src_journal,"""value_Ссылка""",
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,пометка_удаления,boolean,жуфвр_1с,src_journal,"""value_ПометкаУдаления""",
sat,dv_sat_fact_journal,,attr,формат 2022-07-26T07:00:00,stg_1c_journal,дата,timestamptz,жуфвр_1с,src_journal,"""value_Дата""",
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,номер,varchar,жуфвр_1с,src_journal,"""value_Номер""",
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,территория_value,uuid,жуфвр_1с,src_journal,"""value_Территория_value""",
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,территория_codе,varchar,жуфвр_1с,src_journal,"""value_Территория_codе""",
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,территория_name,varchar,жуфвр_1с,src_journal,"""value_Территория_name""",
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,подразделение_value,uuid,жуфвр_1с,src_journal,"""value_Подразделение_value""",
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,подразделение_codе,varchar,жуфвр_1с,src_journal,"""value_Подразделение_codе""",
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,подразделение_name,varchar,жуфвр_1с,src_journal,"""value_Подразделение_name""",
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,смена_value,uuid,жуфвр_1с,src_journal,"""value_Смена_value""",
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,смена_codе,varchar,жуфвр_1с,src_journal,"""value_Смена_codе""",
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,смена_name,varchar,жуфвр_1с,src_journal,"""value_Смена_name""",
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,прораб_value,uuid,жуфвр_1с,src_journal,"""value_Прораб_value""",
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,прораб_codе,varchar,жуфвр_1с,src_journal,"""value_Прораб_codе""",
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,прораб_name,varchar,жуфвр_1с,src_journal,"""value_Прораб_name""",
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,комментарий,varchar,жуфвр_1с,src_journal,"""value_Комментарий""",
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,ответственный_value,uuid,жуфвр_1с,src_journal,"""value_Ответственный_value""",
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,ответственный_codе,varchar,жуфвр_1с,src_journal,"""value_Ответственный_codе""",
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,ответственный_name,varchar,жуфвр_1с,src_journal,"""value_Ответственный_name""",
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,версия_жуфвр_value,uuid,жуфвр_1с,src_journal,"""value_АктуальнаяВерсияЖУФВР_value""",
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,версия_жуфвр_codе,varchar,жуфвр_1с,src_journal,"""value_АктуальнаяВерсияЖУФВР_codе""",
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,версия_жуфвр_name,varchar,жуфвр_1с,src_journal,"""value_АктуальнаяВерсияЖУФВР_name""",
