TARGET,,,,stage,,,,,source,,references,,
target_table_type,target_table,target_column,target_key_type,комментарий,stg_table,stg_column,col_type,record_source,source_table,source_column,parent_table,,
hub,dv_hub_fact_work,,bk,,stg_1c_works,bk_работа_uuid,varchar,жуфвр_1с,works,КлючСвязи,,bk_работа_uuid," varchar,"
,,,,,,,,,,,,," ,"
link,dv_lnk_fact_journal_fact_work,,bk,жуфвр uuid,stg_1c_works,bk_жуфвр_uuid,varchar,жуфвр_1с,works,value_Ссылка,dv_hub_fact_journal,bk_жуфвр_uuid," varchar,"
link,dv_lnk_fact_journal_fact_work,,bk,,stg_1c_works,bk_работа_uuid,varchar,жуфвр_1с,works,КлючСвязи,dv_hub_fact_work,bk_работа_uuid," varchar,"
,,,,,,,,,,,,," ,"
sat,dv_sat_fact_work,,bk,,stg_1c_works,bk_работа_uuid,varchar,жуфвр_1с,works,КлючСвязи,dv_hub_fact_work,bk_работа_uuid," varchar,"
sat,dv_sat_fact_work,,attr,,stg_1c_works,идентификатор,varchar,жуфвр_1с,works,СтруктураРаботИдентификатор,,идентификатор," varchar,"
sat,dv_sat_fact_work,,attr,,stg_1c_works,объем_работы,numeric,жуфвр_1с,works,ОбъемРаботы,,объем_работы," numeric,"
sat,dv_sat_fact_work,,attr,,stg_1c_works,примечание,varchar,жуфвр_1с,works,Примечание,,примечание," varchar,"
sat,dv_sat_fact_work,,attr,,stg_1c_works,кв,varchar,жуфвр_1с,works,СтруктураРаботНомерПоКонтрактнойВедомости,,кв," varchar,"
sat,dv_sat_fact_work,,attr,,stg_1c_works,пометка_удаления,bool,жуфвр_1с,works,СтруктураРаботПометкаУдаления,,пометка_удаления," bool,"
sat,dv_sat_fact_work,,attr,,stg_1c_works,тип_spider,varchar,жуфвр_1с,works,ВидРаботУровеньОперации,,тип_spider," varchar,"
sat,dv_sat_fact_work,,attr,,stg_1c_works,структура_работ_value,uuid,жуфвр_1с,works,СтруктураРабот_value,,структура_работ_value," uuid,"
sat,dv_sat_fact_work,,attr,,stg_1c_works,структура_работ_codе,varchar,жуфвр_1с,works,СтруктураРабот_codе,,структура_работ_codе," varchar,"
sat,dv_sat_fact_work,,attr,,stg_1c_works,структура_работ_name,varchar,жуфвр_1с,works,СтруктураРабот_name,,структура_работ_name," varchar,"
sat,dv_sat_fact_work,,attr,,stg_1c_works,видработ_value,uuid,жуфвр_1с,works,ВидРабот_value,,видработ_value," uuid,"
sat,dv_sat_fact_work,,attr,,stg_1c_works,видработ_codе,varchar,жуфвр_1с,works,ВидРабот_codе,,видработ_codе," varchar,"
sat,dv_sat_fact_work,,attr,,stg_1c_works,видработ_name,varchar,жуфвр_1с,works,ВидРабот_name,,видработ_name," varchar,"
hub,dv_hub_fact_journal,,bk,,stg_1c_journal,bk_жуфвр_uuid,varchar,жуфвр_1с,journal,value_Ссылка,,bk_жуфвр_uuid," varchar,"
,,,,,,,,,,,,," ,"
sat,dv_sat_fact_journal,,bk,,stg_1c_journal,bk_жуфвр_uuid,varchar,жуфвр_1с,journal,value_Ссылка,dv_hub_fact_journal,bk_жуфвр_uuid," varchar,"
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,rabbit_uuid,uuid,жуфвр_1с,journal,uuid,,rabbit_uuid," uuid,"
sat,dv_sat_fact_journal,,attr,формат 2024-05-24T14:06:52,stg_1c_journal,rabbit_дата,timestamptz,жуфвр_1с,journal,date,,rabbit_дата," timestamptz,"
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,проведен,boolean,жуфвр_1с,journal,value_Проведен,,проведен," boolean,"
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,uuid_жуфвр,uuid,жуфвр_1с,journal,value_Ссылка,,uuid_жуфвр," uuid,"
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,пометка_удаления,boolean,жуфвр_1с,journal,value_ПометкаУдаления,,пометка_удаления," boolean,"
sat,dv_sat_fact_journal,,attr,формат 2022-07-26T07:00:00,stg_1c_journal,дата,timestamptz,жуфвр_1с,journal,value_Дата,,дата," timestamptz,"
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,номер,varchar,жуфвр_1с,journal,value_Номер,,номер," varchar,"
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,территория_value,uuid,жуфвр_1с,journal,value_Территория_value,,территория_value," uuid,"
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,территория_codе,varchar,жуфвр_1с,journal,value_Территория_codе,,территория_codе," varchar,"
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,территория_name,varchar,жуфвр_1с,journal,value_Территория_name,,территория_name," varchar,"
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,подразделение_value,uuid,жуфвр_1с,journal,value_Подразделение_value,,подразделение_value," uuid,"
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,подразделение_codе,varchar,жуфвр_1с,journal,value_Подразделение_codе,,подразделение_codе," varchar,"
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,подразделение_name,varchar,жуфвр_1с,journal,value_Подразделение_name,,подразделение_name," varchar,"
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,смена_value,uuid,жуфвр_1с,journal,value_Смена_value,,смена_value," uuid,"
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,смена_codе,varchar,жуфвр_1с,journal,value_Смена_codе,,смена_codе," varchar,"
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,смена_name,varchar,жуфвр_1с,journal,value_Смена_name,,смена_name," varchar,"
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,прораб_value,uuid,жуфвр_1с,journal,value_Прораб_value,,прораб_value," uuid,"
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,прораб_codе,varchar,жуфвр_1с,journal,value_Прораб_codе,,прораб_codе," varchar,"
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,прораб_name,varchar,жуфвр_1с,journal,value_Прораб_name,,прораб_name," varchar,"
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,комментарий,varchar,жуфвр_1с,journal,value_Комментарий,,комментарий," varchar,"
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,ответственный_value,uuid,жуфвр_1с,journal,value_Ответственный_value,,ответственный_value," uuid,"
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,ответственный_codе,varchar,жуфвр_1с,journal,value_Ответственный_codе,,ответственный_codе," varchar,"
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,ответственный_name,varchar,жуфвр_1с,journal,value_Ответственный_name,,ответственный_name," varchar,"
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,версия_жуфвр_value,uuid,жуфвр_1с,journal,value_АктуальнаяВерсияЖУФВР_value,,версия_жуфвр_value," uuid,"
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,версия_жуфвр_codе,varchar,жуфвр_1с,journal,value_АктуальнаяВерсияЖУФВР_codе,,версия_жуфвр_codе," varchar,"
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,версия_жуфвр_name,varchar,жуфвр_1с,journal,value_АктуальнаяВерсияЖУФВР_name,,версия_жуфвр_name," varchar,"
